passenger_id,flight_id
412043560,1001
412043561,1002
412043562,1003
412043563,1004
412043564,1005
412043565,1006
412043566,1007
412043567,1008
412043568,1009
412043569,1010
412043570,1011
412043571,1001
412043572,1002
412043573,1003
412043574,1004
412043575,1005
412043576,1006
412043577,1007
412043578,1008
412043579,1009
412043580,1010
412043581,1011
412043582,1001
412043583,1002
412043584,1003
412043585,1004
412043586,1005
412043587,1006
412043588,1007
412043589,1008
412043590,1009
412043591,1010
412043592,1011
412043593,1001
412043594,1002
412043595,1003
412043596,1004
412043597,1005
412043598,1006
412043599,1007
412043600,1008
412043601,1009
412043602,1010
412043603,1011
412043604,1001
412043605,1002
412043606,1003
412043607,1004
412043608,1005
412043609,1006
412043610,1007
412043611,1008
412043612,1009
412043613,1010
412043614,1011
412043615,1001
412043616,1002
412043617,1003
412043618,1004
412043619,1005
412043620,1006
412043621,1007
412043622,1008
412043623,1009
412043624,1010
412043625,1011
412043626,1001
412043627,1002
412043628,1003
412043629,1004
412043630,1005
412043631,1006
412043632,1007
412043633,1008
412043634,1009
412043635,1010
412043636,1011
412043637,1001
412043638,1002
412043639,1003
412043640,1004
412043641,1005
412043642,1006
412043643,1007
412043644,1008
412043645,1009
412043646,1010
412043647,1011
412043648,1001
412043649,1002
412043650,1003
412043651,1004
412043652,1005
412043653,1006
412043654,1007
412043655,1008
412043656,1009
412043657,1010
412043658,1011
412043659,1001
412043660,1002
412043661,1003
412043662,1004
412043663,1005
412043664,1006
412043665,1007
412043666,1008
412043667,1009
412043668,1010
412043669,1011
412043670,1001
412043671,1002
412043672,1003
412043673,1004
412043674,1005
412043675,1006
412043676,1007
412043677,1008
412043678,1009
412043679,1010
412043680,1011
412043681,1001
412043682,1002
412043683,1003
412043684,1004
412043685,1005
412043686,1006
412043687,1007
412043688,1008
412043689,1009
412043690,1010
412043691,1011
412043692,1001
412043693,1002
412043694,1003
412043695,1004
412043696,1005
412043697,1006
412043698,1007
412043699,1008
412043700,1009
412043701,1010
412043702,1011
412043703,1001
412043704,1002
412043705,1003
412043706,1004
412043707,1005
412043708,1006
412043709,1007
412043710,1008
412043711,1009
412043712,1010
412043713,1011
412043714,1001
412043715,1002
412043716,1003
412043717,1004
412043718,1005
412043719,1006
412043720,1007
412043721,1008
412043722,1009
412043723,1010
412043724,1011
412043725,1001
412043726,1002
412043727,1003
412043728,1004
412043729,1005
412043730,1006
412043731,1007
412043732,1008
412043733,1009
412043734,1010
412043735,1011
412043736,1001
412043737,1002
412043738,1003
412043739,1004
412043740,1005
412043741,1006
412043742,1007
412043743,1008
412043744,1009
412043745,1010
412043746,1011
412043747,1001
412043748,1002
412043749,1003
412043750,1004
412043751,1005
412043752,1006
412043753,1007
412043754,1008
412043755,1009
412043756,1010
412043757,1011
412043758,1001
412043759,1002
412043760,1003
412043761,1004
412043762,1005
412043763,1006
412043764,1007
412043765,1008
412043766,1009
412043767,1010
412043768,1011
412043769,1001
412043770,1002
412043771,1003
412043772,1004
412043773,1005
412043774,1006
412043775,1007
412043776,1008
412043777,1009
412043778,1010
412043779,1011
412043780,1001
412043781,1002
412043782,1003
412043783,1004
412043784,1005
412043785,1006
412043786,1007
412043787,1008
412043788,1009
412043789,1010
412043790,1011
412043791,1001
412043792,1002
412043793,1003
412043794,1004
412043795,1005
412043796,1006
412043797,1007
412043798,1008
412043799,1009
412043800,1010
412043801,1011
412043802,1001
412043803,1002
412043804,1003
412043805,1004
412043806,1005
412043807,1006
412043808,1007
412043809,1008
412043810,1009
412043811,1010
412043812,1011
412043813,1001
412043814,1002
412043815,1003
412043816,1004
412043817,1005
412043818,1006
