passenger_id,flight_id
194213424,1002
194213425,1003
194213426,1004
194213427,1005
194213428,1006
194213429,1007
194213430,1020
194213431,1001
194213432,1002
194213433,1003
194213434,1004
194213435,1005
194213436,1006
194213437,1007
194213438,1020
194213439,1001
194213440,1002
194213441,1003
194213442,1004
194213443,1005
194213444,1006
194213445,1007
194213446,1020
194213447,1001
194213448,1002
194213449,1003
194213450,1004
194213451,1005
194213452,1006
194213453,1007
194213454,1020
194213455,1001
194213456,1002
194213457,1003
194213458,1004
194213459,1005
194213460,1006
194213461,1007
194213462,1020
194213463,1001
194213464,1002
194213465,1003
194213466,1004
194213467,1005
194213468,1006
194213469,1007
194213470,1020
194213471,1001
194213472,1002
194213473,1003
194213474,1004
194213475,1005
194213476,1006
194213477,1007
194213478,1020
194213479,1001
194213480,1002
194213481,1003
194213482,1004
194213483,1005
194213484,1006
194213485,1007
194213486,1020
194213487,1001
194213488,1002
194213489,1003
194213490,1004
194213491,1005
194213492,1006
194213493,1007
194213494,1020
194213495,1001
194213496,1002
194213497,1003
194213498,1004
194213499,1005
194213500,1006
194213501,1007
194213502,1020
194213503,1001
194213504,1002
194213505,1003
194213506,1004
194213507,1005
194213508,1006
194213509,1007
194213510,1020
194213511,1001
194213512,1002
194213513,1003
194213514,1004
194213515,1005
194213516,1006
194213517,1007
194213518,1020
194213519,1001
194213520,1002
194213521,1003
194213522,1004
194213523,1005
194213524,1006
194213525,1007
194213526,1020
194213527,1001
194213528,1002
194213529,1003
194213530,1004
194213531,1005
194213532,1006
194213533,1007
194213534,1020
194213535,1001
194213536,1002
194213537,1003
194213538,1004
194213539,1005
194213540,1006
194213541,1007
194213542,1020
194213543,1001
194213544,1002
194213545,1003
194213546,1004
194213547,1005
194213548,1006
194213549,1007
194213550,1020
194213551,1001
194213552,1002
194213553,1003
194213554,1004
194213555,1005
194213556,1006
194213557,1007
194213558,1020
194213559,1001
194213560,1002
194213561,1003
194213562,1004
194213563,1005
194213564,1006
194213565,1007
194213566,1020
194213567,1001
194213568,1002
194213569,1003
194213570,1004
194213571,1005
194213572,1006
194213573,1007
194213574,1020
194213575,1001
194213576,1002
194213577,1003
194213578,1004
194213579,1005
194213580,1006
194213581,1007
194213582,1020
194213583,1001
194213584,1002
194213585,1003
194213586,1004
194213587,1005
194213588,1006
194213589,1007
194213590,1020
194213591,1001
194213592,1002
194213593,1003
194213594,1004
194213595,1005
194213596,1006
194213597,1007
194213598,1020
194213599,1001
194213600,1002
194213601,1003
194213602,1004
194213603,1005
194213604,1006
194213605,1007
194213606,1020
194213607,1001
194213608,1002
194213609,1003
194213610,1004
194213611,1005
194213612,1006
194213613,1007
194213614,1020
194213615,1001
194213616,1002
194213617,1003
194213618,1004
194213619,1005
194213620,1006
194213621,1007
194213622,1020
194213623,1001
194213624,1002
194213625,1003
194213626,1004
194213627,1005
194213628,1006
194213629,1007
194213630,1020
194213631,1001
194213632,1002
194213633,1003
194213634,1004
194213635,1005
194213636,1006
194213637,1007
194213638,1020
194213639,1001
194213640,1002
194213641,1003
194213642,1004
194213643,1005
194213644,1006
194213645,1007
194213646,1020
194213647,1001
194213648,1002
194213649,1003
194213650,1004
194213651,1005
194213652,1006
194213653,1007
194213654,1020
194213655,1001
194213656,1002
194213657,1003
194213658,1004
194213659,1005
194213660,1006
194213661,1007
194213662,1020
194213663,1001
194213664,1002
194213665,1003
194213666,1004
194213667,1005
194213668,1006
194213669,1007
194213670,1020
194213671,1001
194213672,1002
194213673,1003
194213674,1004
194213675,1005
194213676,1006
194213677,1007
194213678,1020
194213679,1001
194213680,1002
194213681,1003
194213682,1004
194213683,1005
194213684,1006
194213685,1007
194213686,1020
194213687,1001
194213688,1002
194213689,1003
194213690,1004
194213691,1005
194213692,1006
194213693,1007
194213694,1020
194213695,1001
194213696,1002
194213697,1003
194213698,1004
194213699,1005
194213700,1006
194213701,1007
194213702,1020
194213703,1001
194213704,1002
194213705,1003
194213706,1004
194213707,1005
194213708,1006
194213709,1007
194213710,1020
194213711,1001
194213712,1002
194213713,1003
194213714,1004
194213715,1005
194213716,1006
194213717,1007
194213718,1020
194213719,1001
194213720,1002
194213721,1003
194213722,1004
194213723,1005
194213724,1006
194213725,1007
194213726,1020
194213727,1001
194213728,1002
194213729,1003
194213730,1004
194213731,1005
194213732,1006
194213733,1007
194213734,1020
194213735,1001
194213736,1002
194213737,1003
194213738,1004
194213739,1005
194213740,1006
194213741,1007
194213742,1020
194213743,1001
194213744,1002
194213745,1003
194213746,1004
194213747,1005
194213748,1006
194213749,1007
194213750,1020
194213751,1001
194213752,1002
194213753,1003
194213754,1004
194213755,1005
194213756,1006
194213757,1007
194213758,1020
194213759,1001
194213760,1002
194213761,1003
194213762,1004
194213763,1005
194213764,1006
194213765,1007
194213766,1020
194213767,1001
194213768,1002
194213769,1003
194213770,1004
194213771,1005
194213772,1006
194213773,1007
194213774,1020
194213775,1001
194213776,1002
194213777,1003
194213778,1004
194213779,1005
194213780,1006
194213781,1007
194213782,1020
194213783,1001
194213784,1002
194213785,1003
194213786,1004
194213787,1005
194213788,1006
194213789,1007
194213790,1020
194213791,1001
194213792,1002
